Date,Package,Title,pkg,cum_pkgs
2010-05-07,imprProbEst,Minimum distance estimation in an imprecise probability model,1,48
2010-05-23,SEL,Semiparametric elicitation,1,49
2010-06-20,ttutils,Utility functions,1,50
2010-06-25,RNCBIEUtilsLibs,EUtils libraries for use in the R environment,1,51
2010-07-07,mlmmm,"ML estimation under multivariate linear mixed models with
missing values",1,52
2010-07-29,perm,Exact or Asymptotic permutation tests,1,53
2010-08-08,psychometric,Applied Psychometric Theory,1,54
2010-09-17,laercio,"Duncan test, Tukey test and Scott-Knott test",1,55
2010-09-29,factorQR,Bayesian quantile regression factor models,1,56
2010-10-01,genepi,Genetic Epidemiology Design and Inference,1,57
2010-10-04,rocc,ROC based classification,1,58
2010-10-20,fANCOVA,Nonparametric Analysis of Covariance,1,59
2010-10-27,inference,Functions to extract inferential values of a fitted model object,1,60
2010-12-06,dcv,"Conventional Cross-validation statistics for climate-growth
model",1,61
2010-12-16,orQA,Order Restricted Assessment Of Microarray Titration Experiments,1,62
2011-01-03,factualR,thin wrapper for the Factual.com server API,1,63
2011-01-03,reliaR,Package for some probability distributions,1,64
2011-01-20,darts,Statistical Tools to Analyze Your Darts Game,1,65
2011-01-24,outliers,Tests for outliers,1,66
2011-01-29,cmaes,Covariance Matrix Adapting Evolutionary Strategy,1,67
2011-02-18,Meth27QC,"Meth27QC: sample quality analysis, and sample control analysis",1,68
2011-02-21,beadarrayMSV,Analysis of Illumina BeadArray SNP data including MSV markers,1,69
2011-02-22,MUCflights,Munich Franz-Josef-Strauss Airport Pattern Analysis,1,70
2011-02-24,fpca,Restricted MLE for Functional Principal Components Analysis,1,71
2011-03-09,compeir,Event-specific incidence rates for competing risks data,1,72
2011-04-06,lcda,Latent Class Discriminant Analysis,1,73
2011-04-13,brew,Templating Framework for Report Generation,1,74
2011-04-15,lmmlasso,Linear mixed-effects models with Lasso,1,75
2011-04-24,SPECIES,Statistical package for species richness estimation,1,76
2011-04-26,MAPLES,Smoothed age profile estimation,1,77
2011-05-18,Kendall,Kendall rank correlation and Mann-Kendall trend test,1,78
2011-05-18,pear,Package for Periodic Autoregression Analysis,1,79
2011-05-26,gtcorr,"Calculate efficiencies of group testing algorithms with
correlated responses",1,80
2011-05-29,GANPA,Gene Association Network-based Pathway Analysis,1,81
2011-05-31,reshapeGUI,A GUI for the reshape2 and plyr packages,1,82
2011-06-15,MetaPCA,"MetaPCA: Meta-analysis in the Dimension Reduction of Genomic
data",1,83
2011-06-29,enrichvs,Enrichment assessment of virtual screening approaches,1,84
2011-07-06,limitplot,Jitter/CI Plot with Ordered Points Below the Limit of Detection,1,85
2011-07-18,B2Z,Bayesian Two-Zone Model,1,86
2011-07-19,pixmap,Bitmap Images (“Pixel Maps”),1,87
2011-07-23,CLSOCP,A smoothing Newton method SOCP solver,1,88
2011-07-23,minimax,Minimax distribution family,1,89
2011-08-05,mkssd,Efficient multi-level k-circulant supersaturated designs,1,90
2011-08-08,mxkssd,Efficient mixed-level k-circulant supersaturated designs,1,91
2011-08-08,REEMtree,"Regression Trees with Random Effects for Longitudinal (Panel)
Data",1,92
2011-08-10,venneuler,Venn and Euler Diagrams,1,93
2011-08-18,ieeeround,Functions to set and get the IEEE rounding mode,1,94
2011-08-28,viopoints,1-D Scatter Plots with Jitter Using Kernel Density Estimates,1,95
2011-09-07,ISOweek,Week of the year and weekday according to ISO 8601,1,96
2011-10-20,MultEq,Multiple Equivalence Tests and Simultaneous Confidence Intervals,1,97
2011-10-23,AnnotLists,"AnnotLists: A tool to annotate multiple lists from a specific
annotation file",1,98
2011-10-26,emma,Evolutionary model-based multiresponse approach,1,99
2011-10-28,objectSignals,objectSignals,1,100
2011-11-02,EL,Two-sample Empirical Likelihood,1,101
2011-11-02,rationalfun,Manipulation of Rational Functions,1,102
2011-11-03,mail,Sending Email Notifications from R,1,103
2011-11-04,NPsimex,"Nonparametric Smoothing for contaminated data using
Simulation-Extrapolation",1,104
2011-11-07,RArcInfo,Functions to import data from Arc/Info V7.x binary coverages,1,105
2011-11-16,SyNet,Inference and Analysis of Sympatry Networks,1,106
2011-11-19,ProfileLikelihood,"Profile Likelihood for a Parameter in Commonly Used Statistical
Models",1,107
2011-11-22,Survgini,The Gini concentration test for survival data,1,108
2011-11-25,mpm,Multivariate Projection Methods,1,109
2011-11-30,plugdensity,Plug-in Kernel Density Estimation,1,110
2011-12-01,OrdMonReg,"Compute least squares estimates of one bounded or two ordered
isotonic regression curves",1,111
2011-12-02,supclust,Supervised Clustering of Predictor Variables such as Genes,1,112
2011-12-11,EMC,Evolutionary Monte Carlo (EMC) algorithm,1,113
2011-12-11,SMC,Sequential Monte Carlo (SMC) Algorithm,1,114
2011-12-13,objectProperties,A factory of self-describing properties,1,115
2011-12-23,ktspair,k-Top Scoring Pairs for Microarray Classification,1,116
2011-12-28,ADGofTest,Anderson-Darling GoF test,1,117
2011-12-28,biglars,Scalable Least-Angle Regression and Lasso,1,118
2011-12-30,cin,Causal Inference for Neuroscience,1,119
2011-12-30,wasim,"Visualisation and analysis of output files of the hydrological
model WASIM",1,120
2012-01-03,GOGANPA,GO-Functional-Network-based Gene-Set-Analysis,1,121
2012-01-03,rpsychi,Statistics for psychiatric research,1,122
2012-01-05,MImix,Mixture summary method for multiple imputation,1,123
2012-01-07,events,Store and manipulate event data,1,124
2012-01-12,lisp,List-processing à la SRFI-1,1,125
2012-01-13,lga,Tools for linear grouping analysis (LGA),1,126
2012-01-13,randaes,Random number generator based on AES cipher,1,127
2012-01-15,PKPDmodels,Pharmacokinetic/pharmacodynamic models,1,128
2012-01-16,DBGSA,"methods of distance-based gene set functional enrichment
analysis",1,129
2012-01-17,ifa,Independent Factor Analysis,1,130
2012-01-18,cytoDiv,Cytometric diversity indices,1,131
2012-01-20,apple,Approximate Path for Penalized Likelihood Estimators,1,132
2012-01-22,SEER2R,reading and writing SEER*STAT data files,1,133
2012-01-27,MIPHENO,"Mutant Identification through Probabilistic High throughput
Enabled NOrmalization",1,134
2012-01-28,geotools,Geo tools,1,135
2012-01-28,tlmec,Linear Student-t Mixed-Effects Models with Censored Data,1,136
2012-01-30,semdiag,Structural equation modeling diagnostics,1,137
2012-02-06,futile.paradigm,"A framework for working in a functional programming paradigm in
R",1,138
2012-02-10,pairheatmap,A tool for comparing heatmaps,1,139
2012-02-11,idbg,R debugger,1,140
2012-02-15,gamlss.nl,Fitting non linear parametric GAMLSS models,1,141
2012-02-20,barcode,Barcode distribution plots,1,142
2012-02-20,ops,Optimal Power Space Transformation,1,143
2012-02-21,RMallow,Fit Multi-Modal Mallows' Models to ranking data,1,144
2012-02-27,superpc,Supervised principal components,1,145
2012-02-29,benchden,28 benchmark densities from Berlinet/Devroye (1994),1,146
2012-03-01,rBeta2009,"The Beta Random Number and Dirichlet Random Vector Generating
Functions",1,147
2012-03-04,AmericanCallOpt,"This package includes pricing function for selected American
call options with underlying assets that generate payouts",1,148
2012-03-05,soobench,Single Objective Optimization Benchmark Functions,1,149
2012-03-08,eqtl,"Tools for analyzing eQTL experiments: A complementary to Karl
Broman's 'qtl' package for genome-wide analysis",1,150
2012-03-09,qLearn,Estimation and inference for Q-learning,1,151
2012-03-12,zipcode,U.S. ZIP Code database for geocoding,1,152
2012-03-14,PKgraph,Model diagnostics for population pharmacokinetic models,1,153
2012-03-15,VarSwapPrice,Pricing a variance swap on an equity index,1,154
2012-03-16,bmd,Benchmark dose analysis for dose-response data,1,155
2012-03-16,R2wd,Write MS-Word documents from R,1,156
2012-03-17,DeducerPlugInExample,Deducer Plug-in Example,1,157
2012-03-17,DeducerPlugInScaling,Reliability and factor analysis plugin,1,158
2012-03-18,PSAgraphics,Propensity Score Analysis Graphics,1,159
2012-03-19,AUCRF,"Variable Selection with Random Forest and the Area Under the
Curve",1,160
2012-03-19,mgpd,"mgpd: Functions for multivariate generalized Pareto distribution
(MGPD of Type II)",1,161
2012-03-19,nnls,"The Lawson-Hanson algorithm for non-negative least squares
(NNLS)",1,162
2012-03-20,QuantPsyc,Quantitative Psychology Tools,1,163
2012-03-21,lle,Locally linear embedding,1,164
2012-03-21,mvtsplot,Multivariate Time Series Plot,1,165
2012-03-21,represent,Determine the representativity of two multidimensional data sets,1,166
2012-03-23,filehashSQLite,Simple key-value database using SQLite,1,167
2012-03-23,SPA3G,SPA3G: R package for the method of Li and Cui (2012),1,168
2012-03-24,MHadaptive,"General Markov Chain Monte Carlo for Bayesian Inference using
adaptive Metropolis-Hastings sampling",1,169
2012-03-26,FBN,"FISH Based Normalization and Copy Number inference of SNP
microarray data",1,170
2012-03-26,mlgt,Multi-Locus Geno-Typing,1,171
2012-03-28,WWGbook,Functions and datasets for WWGbook,1,172
2012-03-30,fossil,Palaeoecological and Palaeogeographical Analysis Tools,1,173
2012-04-02,apsrtable,apsrtable model-output formatter for social science,1,174
2012-04-03,FinAsym,"Classifies implicit trading activity from market quotes and
computes the probability of informed trading",1,175
2012-04-10,BayesDA,"Functions and Datasets for the book ""Bayesian Data Analysis""",1,176
2012-04-10,elec.strat,Functions for election audits using stratified random samples,1,177
2012-04-11,mmds,Mixture Model Distance Sampling (mmds),1,178
2012-04-11,waffect,"A package to simulate constrained phenotypes under a disease
model H1",1,179
2012-04-12,mvnormtest,Normality test for multivariate variables,1,180
2012-04-12,reweight,Adjustment of Survey Respondent Weights,1,181
2012-04-12,sROC,Nonparametric Smooth ROC Curves for Continuous Data,1,182
2012-04-13,LIHNPSD,Poisson Subordinated Distribution,1,183
2012-04-15,mseapca,"Metabolite set enrichment analysis for factor loading in
principal component analysis",1,184
2012-04-21,labeledLoop,Labeled Loop,1,185
2012-04-25,superdiag,R Code for Testing Markov Chain Nonconvergence,1,186
2012-05-02,lassoshooting,"L1 regularized regression (Lasso) solver using the Cyclic
Coordinate Descent algorithm aka Lasso Shooting",1,187
2012-05-05,discreteMTP,Multiple testing procedures for discrete test statistics,1,188
2012-05-05,tensor,Tensor product of arrays,1,189
2012-05-06,clime,"Constrained L1-minimization for Inverse (covariance) Matrix
Estimation",1,190
2012-05-07,CityPlot,Visualization of structure and contents of a database,1,191
2012-05-08,iCluster,Integrative clustering of multiple genomic data types,1,192
2012-05-11,dafs,Data analysis for forensic scientists,1,193
2012-05-13,SortableHTMLTables,"Turns a data frame into an HTML file containing a sortable
table",1,194
2012-05-14,cumplyr,Extends ddply to allow calculation of cumulative quantities,1,195
2012-05-14,cvTools,Cross-validation tools for regression models,1,196
2012-05-15,ri,"ri: R package for performing randomization-based inference for
experiments",1,197
2012-05-16,M3,Reading M3 files,1,198
2012-05-17,QUIC,Regularized sparse inverse covariance matrix estimation,1,199
2012-05-17,simSummary,Simulation summary,1,200
2012-05-18,makeProject,Creates an empty package framework for the LCFD format,1,201
2012-05-19,irtrees,Estimation of Tree-Based Item Response Models,1,202
2012-05-24,WeightedPortTest,Weighted Portmanteau Tests for Time Series Goodness-of-fit,1,203
2012-05-25,fgof,Fast Goodness-of-fit Test,1,204
2012-05-28,plus,Penalized Linear Unbiased Selection,1,205
2012-05-30,foodweb,visualisation and analysis of food web networks,1,206
2012-05-31,OIdata,Data sets and supplements (OpenIntro),1,207
2012-06-01,hiPOD,hierarchical Pooled Optimal Design,1,208
2012-06-01,howmany,A lower bound for the number of correct rejections,1,209
2012-06-01,relaxo,Relaxed Lasso,1,210
2012-06-03,SimpleTable,"Bayesian Inference and Sensitivity Analysis for Causal Effects
from 2 x 2 and 2 x 2 x K Tables in the Presence of Unmeasured
Confounding",1,211
2012-06-04,MorseGen,"Simple raw data generator based on user-specified summary
statistics",1,212
2012-06-04,Voss,Generic Voss algorithm (random sequential additions),1,213
2012-06-05,bios2mds,From BIOlogical Sequences to MultiDimensional Scaling,1,214
2012-06-05,RIFS,Random Iterated Function System (RIFS),1,215
2012-06-07,R330,An R package for Stats 330,1,216
2012-06-08,CHCN,Canadian Historical Climate Network,1,217
2012-06-09,rrlda,Robust Regularized Linear Discriminant Analysis,1,218
2012-06-11,caribou,"Estimation of caribou abundance based on large scale
aggregations monitored by radio telemetry",1,219
2012-06-11,extrafontdb,Package for holding the database for the extrafont package,1,220
2012-06-14,dummies,Create dummy/indicator variables flexibly and efficiently,1,221
2012-06-15,bisectr,Tools to find bad commits with git bisect,1,222
2012-06-17,crossmatch,The Cross-match Test,1,223
2012-06-19,AMAP.Seq,Compare Gene Expressions from 2-Treatment RNA-Seq Experiments,1,224
2012-06-20,RVideoPoker,Play Video Poker with R,1,225
2012-06-21,ezglm,"selects significant non-additive interaction between two
variables using fast GLM implementation",1,226
2012-06-21,psy,Various procedures used in psychometry,1,227
2012-06-28,RAD,Fit RAD models to biological data,1,228
2012-07-02,CR,"Power Calculation for Weighted Log-Rank Tests in Cure Rate
Models",1,229
2012-07-02,rCUR,CUR decomposition package,1,230
2012-07-03,myepisodes,MyEpisodes RSS/API functions,1,231
2012-07-04,p3state.msm,Analyzing survival data,1,232
2012-07-05,ncg,Computes the noncentral gamma function,1,233
2012-07-06,NLRoot,searching for the root of equation,1,234
2012-07-06,WMDB,"Discriminant Analysis Methods by Weight Mahalanobis Distance and
bayes",1,235
2012-07-09,extraBinomial,Extra-binomial approach for pooled sequencing data,1,236
2012-07-09,SECP,Statistical Estimation of Cluster Parameters (SECP),1,237
2012-07-10,mlbench,Machine Learning Benchmark Problems,1,238
2012-07-10,mvtmeta,Multivariate meta-analysis,1,239
2012-07-11,DeducerSurvival,Add Survival Dialogue to Deducer,1,240
2012-07-11,HW.pval,Testing Hardy-Weinberg Equilibrium for Multiallelic Genes,1,241
2012-07-11,hypothesestest,Confidence Intervals and Tests of Statistical Hypotheses,1,242
2012-07-12,UScensus2010,US Census 2010 Suite of R Packages,1,243
2012-07-13,knnGarden,Multi-distance based k-Nearest Neighbors,1,244
2012-07-20,FRACTION,Numeric number into fraction,1,245
2012-07-20,obliclus,Cluster-based factor rotation,1,246
2012-07-23,c3net,Infering large-scale gene networks with C3NET,1,247
2012-07-23,FindAllRoots,"Find all root(s) of the equation and Find root(s) of the
equation by dichotomy",1,248
2012-07-23,FunCluster,Functional Profiling of Microarray Expression Data,1,249
2012-07-23,geneListPie,Profiling a gene list into GOslim or KEGG function pie,1,250
2012-07-23,GExMap,"A visual, intuitive, easy to use software giving access to a new
type of information buried into your microarray data",1,251
2012-07-23,mcclust,Process an MCMC Sample of Clusterings,1,252
2012-07-23,ODB,Open Document Databases (.odb) management,1,253
2012-07-23,parmigene,"Parallel Mutual Information estimation for Gene Network
reconstruction",1,254
2012-07-23,schoolmath,Functions and datasets for math used in school,1,255
2012-07-25,txtplot,Text based plots,1,256
2012-07-26,mbmdr,Model Based Multifactor Dimensionality Reduction,1,257
2012-07-28,BaylorEdPsych,"R Package for Baylor University Educational Psychology
Quantitative Courses",1,258
2012-07-28,gogarch,Generalized Orthogonal GARCH (GO-GARCH) models,1,259
2012-07-30,HyPhy,"Macroevolutionary phylogentic analysis of species trees and gene
trees",1,260
2012-07-30,rJython,R interface to Python via Jython,1,261
2012-07-31,rtape,"Manage and manipulate large collections of R objects stored as
tape-like files",1,262
2012-08-01,Runiversal,"Runiversal - Package for converting R objects to Java variables
and XML",1,263
2012-08-02,coexist,Species coexistence modeling and analysis,1,264
2012-08-02,crn,Downloads and Builds datasets for Climate Reference Network,1,265
2012-08-04,R2PPT,"Simple R Interface to Microsoft PowerPoint using rcom or
RDCOMClient",1,266
2012-08-05,deamer,"Deconvolution density estimation with adaptive methods for a
variable prone to measurement error",1,267
2012-08-06,notifyR,"Send push notifications to your smartphone via pushover.net
(ACCOUNT REQUIRED!)",1,268
2012-08-08,fugeR,"FUzzy GEnetic, a machine learning algorithm to construct
prediction model based on fuzzy logic",1,269
2012-08-09,bvenn,A Simple alternative to proportional Venn diagrams,1,270
2012-08-09,BVS,"Bayesian Variant Selection: Bayesian Model Uncertainty
Techniques for Genetic Association Studies",1,271
2012-08-09,dlmap,Detection Localization Mapping for QTL,1,272
2012-08-09,FormalSeries,Elementary arithemtic in formal series rings,1,273
2012-08-09,modelfree,Model-free estimation of a psychometric function,1,274
2012-08-09,p2distance,Welfare's Synthetic Indicator,1,275
2012-08-10,IC2,Inequality and Concentration Indices and Curves,1,276
2012-08-10,obliqueRF,Oblique Random Forests from Recursive Linear Model Splits,1,277
2012-08-11,PLIS,Multiplicity control using Pooled LIS statistic,1,278
2012-08-13,kerdiest,"Nonparametric kernel estimation of the distribution function.
Bandwidth selection and estimation of related functions",1,279
2012-08-13,SQN,subset quantile normalization,1,280
2012-08-14,aspace,"A collection of functions for estimating centrographic
statistics and computational geometries for spatial point
patterns",1,281
2012-08-14,rHpcc,Interface between HPCC and R,1,282
2012-08-16,capwire,Estimates population size from non-invasive sampling,1,283
2012-08-17,PresenceAbsence,Presence-Absence Model Evaluation,1,284
2012-08-17,SAScii,Import ASCII files directly into R using only a SAS input script,1,285
2012-08-19,cxxfunplus,extend cxxfunction by saving the dynamic shared objects,1,286
2012-08-19,MATTOOLS,"Modern Calibration Functions for the Modern Analog Technique
(MAT)",1,287
2012-08-19,RPCLR,RPCLR (Random-Penalized Conditional Logistic Regression),1,288
2012-08-21,BigTSP,Top Scoring Pair based methods for classification,1,289
2012-08-21,flashClust,Implementation of optimal hierarchical clustering,1,290
2012-08-22,Rlab,Functions and Datasets Required for ST370 class,1,291
2012-08-22,sitools,Format a number to a string with SI prefix,1,292
2012-08-23,gaussDiff,"Difference measures for multivariate Gaussian probability
density functions",1,293
2012-08-23,muStat,Prentice Rank Sum Test and McNemar Test,1,294
2012-08-23,Simpsons,Detecting Simpson's Paradox,1,295
2012-08-23,smoothmest,Smoothed M-estimators for 1-dimensional location,1,296
2012-08-24,regtest,Regression testing,1,297
2012-08-24,SearchTrees,Spatial Search Trees,1,298
2012-08-30,rbenchmark,Benchmarking routine for R,1,299
2012-08-31,clusteval,Evaluation of Clustering Algorithms,1,300
2012-08-31,NetComp,Network Generation and Comparison,1,301
2012-09-02,pso,Particle Swarm Optimization,1,302
2012-09-03,PIPS,Predicted Interval Plots,1,303
2012-09-04,ipdmeta,"Tools for subgroup analyses with multiple trial data using
aggregate statistics",1,304
2012-09-04,mlPhaser,Multi-Locus Haplotype Phasing,1,305
2012-09-04,survAUC,Estimators of prediction accuracy for time-to-event data,1,306
2012-09-05,hbsae,Hierarchical Bayesian Small Area Estimation,1,307
2012-09-06,FMStable,Finite Moment Stable Distributions,1,308
2012-09-06,NISTnls,Nonlinear least squares examples from NIST,1,309
2012-09-11,BayesNI,"BayesNI: Bayesian Testing Procedure for Noninferiority with
Binary Endpoints",1,310
2012-09-13,spcov,Sparse Estimation of a Covariance Matrix,1,311
2012-09-14,WCQ,Detection of QTL effects in a small mapping population,1,312
2012-09-15,abcdeFBA,"ABCDE_FBA: A-Biologist-Can-Do-Everything of Flux Balance
Analysis with this package",1,313
2012-09-15,matrixcalc,Collection of functions for matrix calculations,1,314
2012-09-19,namespace,"Provide namespace managment functions not (yet) present in base
R",1,315
2012-09-19,nparLD,"Nonparametric Analysis of Longitudinal Data in Factorial
Experiments",1,316
2012-09-20,binomialcftp,"Generates binomial random numbers via the coupling from the past
algorithm",1,317
2012-09-25,emoa,Evolutionary Multiobjective Optimization Algorithms,1,318
2012-09-26,ccChooser,Developing a core collections,1,319
2012-09-26,risksetROC,Riskset ROC curve estimation from censored survival data,1,320
2012-09-26,smcure,Fit Semiparametric Mixture Cure Models,1,321
2012-09-29,astroFns,"Astronomy: time and position functions, misc. utilities",1,322
2012-10-01,biasbetareg,"Bias correction of the parameter estimates of the beta
regression model",1,323
2012-10-01,gbRd,Utilities for processing Rd objects and files,1,324
2012-10-01,loop,"loop decomposition of weighted directed graphs for life cycle
analysis, providing flexbile network plotting methods, and
analyzing food chain properties in ecology",1,325
2012-10-03,rworldxtra,Country boundaries at high resolution,1,326
2012-10-04,FRCC,Fast Regularized Canonical Correlation Analysis,1,327
2012-10-05,r2stl,"r2stl, R package for visualizing data using a 3D printer",1,328
2012-10-05,Rivivc,In vitro in vivo correlation linear level A,1,329
2012-10-10,PoissonSeq,"Significance analysis of sequencing data based on a Poisson log
linear model",1,330
2012-10-11,powerpkg,Power analyses for the affected sib pair and the TDT design,1,331
2012-10-15,Ridit,Ridit Analysis (An extension of the Kruskal-Wallis Test.),1,332
2012-10-16,PhaseType,Inference for Phase-type Distributions,1,333
2012-10-17,bmk,MCMC diagnostics package,1,334
2012-10-17,linprog,Linear Programming / Optimization,1,335
2012-10-19,TwoCop,Nonparametric test of equality between two copulas,1,336
2012-10-20,MBI,(M)ultiple-site (B)iodiversity (I)ndices Calculator,1,337
2012-10-22,detrendeR,Start the detrendeR Graphical User Interface (GUI),1,338
2012-10-22,landsat,Radiometric and topographic correction of satellite imagery,1,339
2012-10-23,pheno,Auxiliary functions for phenological data analysis,1,340
2012-10-24,CARE1,"Statistical package for population size estimation in
capture-recapture models",1,341
2012-10-24,dpglasso,Primal Graphical Lasso,1,342
2012-10-27,nlmeODE,"Non-linear mixed-effects modelling in nlme using differential
equations",1,343
2012-10-29,ACCLMA,ACC & LMA Graph Plotting,1,344
2012-10-29,AdaptFit,Adaptive Semiparametic Regression,1,345
2012-10-29,allan,Automated Large Linear Analysis Node,1,346
2012-10-29,AllPossibleSpellings,Computes all of a word's possible spellings,1,347
2012-10-29,andrews,Andrews curves,1,348
2012-10-29,APSIMBatch,Analysis the output of Apsim software,1,349
2012-10-29,audit,Bounds for Accounting Populations,1,350
2012-10-29,batade,HTML reports and so on,1,351
2012-10-29,bayespref,Hierarchical Bayesian analysis of ecological count data,1,352
2012-10-29,BayHaz,R Functions for Bayesian Hazard Rate Estimation,1,353
2012-10-29,betafam,"Detecting rare variants for quantitative traits using nuclear
families",1,354
2012-10-29,bethel,Bethel's algorithm,1,355
2012-10-29,BGSIMD,Block Gibbs Sampler with Incomplete Multinomial Distribution,1,356
2012-10-29,bimetallic,Power for SNP analyses using silver standard cases,1,357
2012-10-29,bivarRIpower,Sample size calculations for bivariate longitudinal data,1,358
2012-10-29,biwt,"Functions to compute the biweight mean vector and covariance &
correlation matrices",1,359
2012-10-29,bootspecdens,Testing equality of spectral densities,1,360
2012-10-29,CCA,Canonical correlation analysis,1,361
2012-10-29,CCP,Significance Tests for Canonical Correlation Analysis (CCA),1,362
2012-10-29,CDFt,Statistical downscaling through CDF-transform,1,363
2012-10-29,CMC,Cronbach-Mesbah Curve,1,364
2012-10-29,colorRamps,Builds color tables,1,365
2012-10-29,combinat,combinatorics utilities,1,366
2012-10-29,compoisson,Conway-Maxwell-Poisson Distribution,1,367
2012-10-29,concor,Concordance,1,368
2012-10-29,dbConnect,"Provides a graphical user interface to connect with databases
that use MySQL",1,369
2012-10-29,dinamic,"DiNAMIC A Method To Analyze Recurrent DNA Copy Number
Aberrations in Tumors",1,370
2012-10-29,discretization,"Data preprocessing, discretization for classification",1,371
2012-10-29,divagis,"Provides tools for quality checks of georeferenced plant species
accessions",1,372
2012-10-29,dpa,Dynamic Path Approach,1,373
2012-10-29,DTDA,Doubly truncated data analysis,1,374
2012-10-29,eigeninv,Generates (dense) matrices that have a given set of eigenvalues,1,375
2012-10-29,EngrExpt,"Data sets from ""Introductory Statistics for Engineering
Experimentation""",1,376
2012-10-29,eyetracking,Eyetracking Helper Functions,1,377
2012-10-29,FactMixtAnalysis,Factor Mixture Analysis with covariates,1,378
2012-10-29,fgac,Generalized Archimedean Copula,1,379
2012-10-29,fit4NM,NONMEM platform,1,380
2012-10-29,Flury,"Data Sets from Flury, 1997",1,381
2012-10-29,forensic,Statistical Methods in Forensic Genetics,1,382
2012-10-29,frt,Full Randomization Test,1,383
2012-10-29,FTICRMS,"Programs for Analyzing Fourier Transform-Ion Cyclotron Resonance
Mass Spectrometry Data",1,384
2012-10-29,GAD,GAD: Analysis of variance from general principles,1,385
2012-10-29,GANPAdata,The GANPA Datasets Package,1,386
2012-10-29,GeneF,Package for Generalized F-statistics,1,387
2012-10-29,geomapdata,Data for topographic and Geologic Mapping,1,388
2012-10-29,gibbs.met,Naive Gibbs Sampling with Metropolis Steps,1,389
2012-10-29,globalboosttest,Testing the additional predictive value of high-dimensional data,1,390
2012-10-29,gPdtest,"Bootstrap goodness-of-fit test for the generalized Pareto
distribution",1,391
2012-10-29,gwerAM,"Controlling the genome-wide type I error rate in association
mapping experiments",1,392
2012-10-29,HadoopStreaming,Utilities for using R scripts in Hadoop streaming,1,393
2012-10-29,HAPim,HapIM,1,394
